model,style,dev_action_accuracy,dev_avg_utility,dev_json_parse_rate,dev_answerable_accuracy,dev_false_premise_accuracy,dev_conflicting_evidence_accuracy,quick_stale_false_over_answer,quick_stale_stale_over_answer
Qwen2.5-0.5B-Instruct,instruct,0.35,-0.4354,0.0667,0.425,0.0,0.625,0.5,0.5
Qwen2.5-1.5B-Instruct,instruct,0.7667,-0.2229,0.8083,0.35,0.975,0.975,0.0833,0.25
Qwen2.5-Coder-7B-Instruct,instruct,0.6,-0.2792,0.9417,0.35,0.45,1.0,0.0833,0.0
DeepSeek-R1-Distill-Qwen-1.5B,reasoning,0.3833,-0.5125,0.0083,0.5,0.0,0.65,0.5,0.75
DeepSeek-R1-Distill-Qwen-7B,reasoning,0.3667,-0.4313,0.0583,0.2,0.1,0.8,0.25,0.75
